BEGIN
SET
Output format is unaligned.
Field separator is ",".
coorte,versao,decisao,mercado,direcao,dia,entrada_utc,horizonte_s,saida_real,no_recorte_par,no_recorte_mercado_dia,entry_open,atr,horizonte_min,preco,ret_atr
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3b5c1d1-2536-5104-9708-098725de83d2,DASHUSDT,long,2026-07-07,2026-07-07 21:01:00,14400,stop,f,t,35.8100000000,0.3385682550991591361123254093,60,35.4100000000,-1.18144567
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3b5c1d1-2536-5104-9708-098725de83d2,DASHUSDT,long,2026-07-07,2026-07-07 21:01:00,14400,stop,f,t,35.8100000000,0.3385682550991591361123254093,80,35.4400000000,-1.09283725
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3b5c1d1-2536-5104-9708-098725de83d2,DASHUSDT,long,2026-07-07,2026-07-07 21:01:00,14400,stop,f,t,35.8100000000,0.3385682550991591361123254093,120,35.4500000000,-1.06330111
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3b5c1d1-2536-5104-9708-098725de83d2,DASHUSDT,long,2026-07-07,2026-07-07 21:01:00,14400,stop,f,t,35.8100000000,0.3385682550991591361123254093,180,35.2900000000,-1.53587937
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3b5c1d1-2536-5104-9708-098725de83d2,DASHUSDT,long,2026-07-07,2026-07-07 21:01:00,14400,stop,f,t,35.8100000000,0.3385682550991591361123254093,240,35.7200000000,-0.26582528
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,1bd42c18-8d17-59a8-9dae-273788bae3cb,UNIUSDT,long,2026-07-07,2026-07-07 21:46:00,14400,stop,f,t,3.2050000000,0.02533070007616407827228938287,5,3.2120000000,0.27634451
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,1bd42c18-8d17-59a8-9dae-273788bae3cb,UNIUSDT,long,2026-07-07,2026-07-07 21:46:00,14400,stop,f,t,3.2050000000,0.02533070007616407827228938287,10,3.1990000000,-0.23686673
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,1bd42c18-8d17-59a8-9dae-273788bae3cb,UNIUSDT,long,2026-07-07,2026-07-07 21:46:00,14400,stop,f,t,3.2050000000,0.02533070007616407827228938287,15,3.1800000000,-0.98694469
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,1bd42c18-8d17-59a8-9dae-273788bae3cb,UNIUSDT,long,2026-07-07,2026-07-07 21:46:00,14400,stop,f,t,3.2050000000,0.02533070007616407827228938287,30,3.2040000000,-0.03947779
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,1bd42c18-8d17-59a8-9dae-273788bae3cb,UNIUSDT,long,2026-07-07,2026-07-07 21:46:00,14400,stop,f,t,3.2050000000,0.02533070007616407827228938287,60,3.2140000000,0.35530009
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,1bd42c18-8d17-59a8-9dae-273788bae3cb,UNIUSDT,long,2026-07-07,2026-07-07 21:46:00,14400,stop,f,t,3.2050000000,0.02533070007616407827228938287,80,3.2210000000,0.63164460
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,1bd42c18-8d17-59a8-9dae-273788bae3cb,UNIUSDT,long,2026-07-07,2026-07-07 21:46:00,14400,stop,f,t,3.2050000000,0.02533070007616407827228938287,120,3.1940000000,-0.43425566
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,1bd42c18-8d17-59a8-9dae-273788bae3cb,UNIUSDT,long,2026-07-07,2026-07-07 21:46:00,14400,stop,f,t,3.2050000000,0.02533070007616407827228938287,180,3.2400000000,1.38172257
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,1bd42c18-8d17-59a8-9dae-273788bae3cb,UNIUSDT,long,2026-07-07,2026-07-07 21:46:00,14400,stop,f,t,3.2050000000,0.02533070007616407827228938287,240,3.2020000000,-0.11843336
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,f740b6a2-99fb-5430-8d64-4b40deba915e,ZECUSDT,long,2026-07-07,2026-07-07 22:01:00,14400,stop,t,t,481.6300000000,5.516007434672846565753203345,5,482.2600000000,0.11421304
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,f740b6a2-99fb-5430-8d64-4b40deba915e,ZECUSDT,long,2026-07-07,2026-07-07 22:01:00,14400,stop,t,t,481.6300000000,5.516007434672846565753203345,10,480.9500000000,-0.12327757
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,f740b6a2-99fb-5430-8d64-4b40deba915e,ZECUSDT,long,2026-07-07,2026-07-07 22:01:00,14400,stop,t,t,481.6300000000,5.516007434672846565753203345,15,479.0500000000,-0.46772961
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,f740b6a2-99fb-5430-8d64-4b40deba915e,ZECUSDT,long,2026-07-07,2026-07-07 22:01:00,14400,stop,t,t,481.6300000000,5.516007434672846565753203345,30,477.0300000000,-0.83393651
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,f740b6a2-99fb-5430-8d64-4b40deba915e,ZECUSDT,long,2026-07-07,2026-07-07 22:01:00,14400,stop,t,t,481.6300000000,5.516007434672846565753203345,60,487.3900000000,1.04423355
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,f740b6a2-99fb-5430-8d64-4b40deba915e,ZECUSDT,long,2026-07-07,2026-07-07 22:01:00,14400,stop,t,t,481.6300000000,5.516007434672846565753203345,80,487.3800000000,1.04242064
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,f740b6a2-99fb-5430-8d64-4b40deba915e,ZECUSDT,long,2026-07-07,2026-07-07 22:01:00,14400,stop,t,t,481.6300000000,5.516007434672846565753203345,120,483.3100000000,0.30456812
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,f740b6a2-99fb-5430-8d64-4b40deba915e,ZECUSDT,long,2026-07-07,2026-07-07 22:01:00,14400,stop,t,t,481.6300000000,5.516007434672846565753203345,180,487.1800000000,1.00616253
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,f740b6a2-99fb-5430-8d64-4b40deba915e,ZECUSDT,long,2026-07-07,2026-07-07 22:01:00,14400,stop,t,t,481.6300000000,5.516007434672846565753203345,240,476.5100000000,-0.92820760
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,a082a7fe-1ccb-5ce5-9dee-4871e4e60374,DASHUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,f,t,35.3600000000,0.3131071186056607527749582901,5,35.4600000000,0.31937952
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,a082a7fe-1ccb-5ce5-9dee-4871e4e60374,DASHUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,f,t,35.3600000000,0.3131071186056607527749582901,10,35.4300000000,0.22356566
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,a082a7fe-1ccb-5ce5-9dee-4871e4e60374,DASHUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,f,t,35.3600000000,0.3131071186056607527749582901,15,35.4500000000,0.28744156
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,a082a7fe-1ccb-5ce5-9dee-4871e4e60374,DASHUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,f,t,35.3600000000,0.3131071186056607527749582901,30,35.5500000000,0.60682108
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,a082a7fe-1ccb-5ce5-9dee-4871e4e60374,DASHUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,f,t,35.3600000000,0.3131071186056607527749582901,60,35.4800000000,0.38325542
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,a082a7fe-1ccb-5ce5-9dee-4871e4e60374,DASHUSDT,long,2026-07-07,2026-07-07 22:46:00,14400,stop,f,t,35.3600000000,0.3131071186056607527749582901,80,35.4900000000,0.41519337
