versao,dia,mercado,janela,barra,r_exf,r_net,r_bruto,risco_pct,atr_pct,saida
mean_reversion v1,2026-07-07,UNIUSDT,J1,2026-07-07T21:45:00Z,-1.169983,,-0.926753,0.008187,0.00790103,stop
mean_reversion v1,2026-07-07,ZECUSDT,J1,2026-07-07T22:00:00Z,-1.269371,,-0.884176,0.005177,0.01137462,stop
mean_reversion v1,2026-07-07,ZECUSDT,J1,2026-07-07T22:45:00Z,-1.126861,,-0.945226,0.010948,0.01154172,stop
mean_reversion v1,2026-07-07,DASHUSDT,J1,2026-07-07T22:45:00Z,-1.173187,,-0.925381,0.008036,0.00884234,stop
mean_reversion v1,2026-07-08,PROMUSDT,J1,2026-07-08T01:15:00Z,1.435960,,1.594878,0.012705,0.01294423,target
mean_reversion v1,2026-07-08,DASHUSDT,J1,2026-07-08T01:45:00Z,-1.127983,,-0.944745,0.010852,0.00884087,stop
mean_reversion v1,2026-07-08,ZECUSDT,J1,2026-07-08T02:15:00Z,0.996143,,1.171453,0.011478,0.00974692,target
mean_reversion v1,2026-07-08,UNIUSDT,J1,2026-07-08T08:45:00Z,1.395926,,1.552671,0.012879,0.01291054,target
mean_reversion v1,2026-07-09,UNIUSDT,J1,2026-07-09T04:30:00Z,0.777942,,0.938642,0.012511,0.00949094,target
mean_reversion v1,2026-07-09,PROMUSDT,J1,2026-07-09T04:30:00Z,0.931693,,1.159913,0.008803,0.00737618,target
mean_reversion v1,2026-07-09,NEARUSDT,J1,2026-07-09T09:30:00Z,-1.230535,,-0.900813,0.006046,0.00649061,stop
mean_reversion v1,2026-07-09,SAHARAUSDT,J1,2026-07-09T11:30:00Z,-1.148821,,-0.935818,0.009343,0.00969523,stop
mean_reversion v1,2026-07-09,ZECUSDT,J1,2026-07-09T12:30:00Z,0.795183,,1.048364,0.007928,0.00626604,target
mean_reversion v1,2026-07-09,UNIUSDT,J1,2026-07-09T12:45:00Z,2.485585,,2.928602,0.004542,0.00874191,expired
mean_reversion v1,2026-07-09,SAHARAUSDT,J1,2026-07-09T13:00:00Z,-1.124871,,-0.946079,0.011121,0.00860784,stop
mean_reversion v1,2026-07-09,SAHARAUSDT,J1,2026-07-09T14:30:00Z,1.430369,,1.728241,0.006749,0.00712307,target
mean_reversion v1,2026-07-09,ZECUSDT,J1,2026-07-09T14:30:00Z,1.557114,,1.859944,0.006641,0.00735223,target
mean_reversion v1,2026-07-09,NEARUSDT,J1,2026-07-09T17:00:00Z,0.972306,,1.223618,0.007992,0.00687667,target
mean_reversion v1,2026-07-09,ARBUSDT,J1,2026-07-09T22:45:00Z,-1.065978,,-0.971308,0.020899,0.01211517,stop
mean_reversion v1,2026-07-09,ZECUSDT,J1,2026-07-09T23:30:00Z,1.644026,,1.921775,0.007247,0.00822119,target
mean_reversion v1,2026-07-09,ARBUSDT,J1,2026-07-09T23:30:00Z,-1.118403,,-0.948849,0.011723,0.01382603,stop
mean_reversion v1,2026-07-10,PROMUSDT,J1,2026-07-10T09:45:00Z,-0.639456,,-0.451063,0.010584,0.01077830,expired
mean_reversion v1,2026-07-10,ARBUSDT,J1,2026-07-10T12:45:00Z,-1.122370,,-0.947150,0.011346,0.01085905,stop
mean_reversion v1,2026-07-10,ARBUSDT,J1,2026-07-10T13:15:00Z,-1.117529,,-0.949224,0.011809,0.01100243,stop
mean_reversion v1,2026-07-10,PROMUSDT,J1,2026-07-10T14:30:00Z,-1.197450,,-0.959649,0.008372,0.00777659,stop
mean_reversion v1,2026-07-10,ARBUSDT,J1,2026-07-10T14:45:00Z,-1.100597,,-0.956477,0.013778,0.01145419,stop
mean_reversion v1,2026-07-10,DASHUSDT,J1,2026-07-10T14:45:00Z,1.280665,,1.579800,0.006717,0.00669215,target
mean_reversion v1,2026-07-10,UNIUSDT,J1,2026-07-10T15:15:00Z,-0.252681,,-0.104543,0.013483,0.01009903,expired
mean_reversion v1,2026-07-10,ZECUSDT,J1,2026-07-10T16:00:00Z,0.665868,,0.852883,0.010737,0.00956992,expired
mean_reversion v1,2026-07-10,UNIUSDT,J1,2026-07-10T20:45:00Z,1.261984,,1.582908,0.006259,0.00622704,target
mean_reversion v1,2026-07-10,ZECUSDT,J1,2026-07-10T23:15:00Z,-1.152222,,-0.934362,0.009136,0.00609801,stop
mean_reversion v1,2026-07-12,ARBUSDT,J2,2026-07-12T00:00:00Z,0.927516,,1.073385,0.013804,0.01123794,target
mean_reversion v1,2026-07-12,UNIUSDT,J2,2026-07-12T00:15:00Z,-0.576771,,-0.369634,0.009632,0.00903824,expired
mean_reversion v1,2026-07-12,ZECUSDT,J2,2026-07-12T00:30:00Z,-1.232420,,-0.900006,0.005997,0.00924745,stop
mean_reversion v1,2026-07-12,PROMUSDT,J2,2026-07-12T00:30:00Z,1.336261,,1.676450,0.005905,0.00608047,target
mean_reversion v1,2026-07-12,UNIUSDT,J2,2026-07-12T22:30:00Z,-1.187671,,-0.919176,0.007419,0.00654961,stop
mean_reversion v1,2026-07-12,ZECUSDT,J2,2026-07-12T22:30:00Z,-1.136449,,-0.941119,0.010184,0.00740803,stop
