symbol,tf,ts,n_linhas,dist_sup,dist_res
ARBUSDT,15m,2026-08-10T22:45:00+00:00,6,0.113109,3.401701
ARBUSDT,15m,2026-08-10T23:00:00+00:00,6,0.096596,2.932159
ARBUSDT,15m,2026-08-10T23:15:00+00:00,6,0.136876,2.908939
ARBUSDT,15m,2026-08-10T23:30:00+00:00,6,0.047531,3.112589
ARBUSDT,15m,2026-08-10T23:45:00+00:00,6,0.137912,2.985519
ARBUSDT,15m,2026-08-11T00:00:00+00:00,6,0.110129,2.363813
ARBUSDT,15m,2026-08-11T00:15:00+00:00,6,0.422346,0.718481
ARBUSDT,15m,2026-08-11T00:30:00+00:00,6,0.507013,0.409443
ARBUSDT,15m,2026-08-11T00:45:00+00:00,6,0.833887,0.064241
ARBUSDT,15m,2026-08-11T01:00:00+00:00,6,0.711386,0.593221
ARBUSDT,15m,2026-08-11T01:15:00+00:00,6,1.068493,0.897106
ARBUSDT,15m,2026-08-11T01:30:00+00:00,6,0.759241,0.751590
ARBUSDT,15m,2026-08-11T01:45:00+00:00,6,0.685722,0.046294
ARBUSDT,15m,2026-08-11T02:00:00+00:00,6,2.745395,0.442285
ARBUSDT,15m,2026-08-11T02:15:00+00:00,6,0.833734,0.128842
ARBUSDT,15m,2026-08-11T02:30:00+00:00,6,2.365992,0.223299
ARBUSDT,15m,2026-08-11T02:45:00+00:00,6,0.034320,0.754920
ARBUSDT,15m,2026-08-11T03:00:00+00:00,6,0.088911,0.209737
ARBUSDT,15m,2026-08-11T03:15:00+00:00,6,0.632992,0.282925
ARBUSDT,15m,2026-08-11T03:30:00+00:00,6,1.324722,0.473467
ARBUSDT,15m,2026-08-11T03:45:00+00:00,6,0.886191,0.279442
ARBUSDT,15m,2026-08-11T04:00:00+00:00,6,1.188920,0.515897
ARBUSDT,15m,2026-08-11T04:15:00+00:00,6,0.307369,0.805919
ARBUSDT,15m,2026-08-11T04:30:00+00:00,6,0.421277,1.480294
ARBUSDT,15m,2026-08-11T04:45:00+00:00,6,0.967533,1.656006
ARBUSDT,15m,2026-08-11T05:00:00+00:00,4,1.227430,2.048746
ARBUSDT,15m,2026-08-11T05:15:00+00:00,4,2.134814,2.557008
ARBUSDT,15m,2026-08-11T05:30:00+00:00,4,1.813407,2.630865
ARBUSDT,15m,2026-08-11T05:45:00+00:00,4,1.630287,2.351072
ARBUSDT,15m,2026-08-11T06:00:00+00:00,4,1.891799,1.852647
ARBUSDT,15m,2026-08-11T06:15:00+00:00,4,1.461348,1.312884
ARBUSDT,15m,2026-08-11T06:30:00+00:00,4,1.651822,2.310923
ARBUSDT,15m,2026-08-11T06:45:00+00:00,4,2.718642,2.382417
ARBUSDT,15m,2026-08-11T07:00:00+00:00,4,3.165400,3.071373
ARBUSDT,15m,2026-08-11T07:15:00+00:00,3,2.399305,3.542640
ARBUSDT,15m,2026-08-11T07:30:00+00:00,3,2.585832,3.302767
ARBUSDT,15m,2026-08-11T07:45:00+00:00,3,2.567479,2.349292
ARBUSDT,15m,2026-08-11T08:00:00+00:00,4,2.076813,2.245762
ARBUSDT,15m,2026-08-11T08:15:00+00:00,4,2.078415,2.641951
ARBUSDT,15m,2026-08-11T08:30:00+00:00,3,1.942287,2.844232
ARBUSDT,15m,2026-08-11T08:45:00+00:00,3,2.243029,2.116417
ARBUSDT,15m,2026-08-11T09:00:00+00:00,3,1.657840,2.496915
ARBUSDT,15m,2026-08-11T09:15:00+00:00,3,1.597607,1.419041
ARBUSDT,15m,2026-08-11T09:30:00+00:00,2,2.265965,
ARBUSDT,15m,2026-08-11T09:45:00+00:00,2,2.732410,
ARBUSDT,15m,2026-08-11T10:00:00+00:00,2,1.380234,
ARBUSDT,15m,2026-08-11T10:15:00+00:00,2,0.824846,
ARBUSDT,15m,2026-08-11T10:30:00+00:00,2,0.778155,
ARBUSDT,15m,2026-08-11T10:45:00+00:00,2,0.843936,
ARBUSDT,15m,2026-08-11T11:00:00+00:00,2,0.997477,
ARBUSDT,15m,2026-08-11T11:15:00+00:00,0,,
ARBUSDT,15m,2026-08-11T11:30:00+00:00,0,,
ARBUSDT,15m,2026-08-11T11:45:00+00:00,0,,
ARBUSDT,15m,2026-08-11T12:00:00+00:00,0,,
ARBUSDT,15m,2026-08-11T12:15:00+00:00,0,,
ARBUSDT,15m,2026-08-11T12:30:00+00:00,0,,
ARBUSDT,15m,2026-08-11T12:45:00+00:00,0,,
ARBUSDT,15m,2026-08-11T13:00:00+00:00,0,,
ARBUSDT,15m,2026-08-11T13:15:00+00:00,0,,
ARBUSDT,15m,2026-08-11T13:30:00+00:00,0,,
ARBUSDT,15m,2026-08-11T13:45:00+00:00,0,,
ARBUSDT,15m,2026-08-11T14:00:00+00:00,0,,
ARBUSDT,15m,2026-08-11T14:15:00+00:00,0,,
ARBUSDT,15m,2026-08-11T14:30:00+00:00,0,,
ARBUSDT,15m,2026-08-11T14:45:00+00:00,0,,
ARBUSDT,15m,2026-08-11T15:00:00+00:00,0,,
ARBUSDT,15m,2026-08-11T15:15:00+00:00,0,,
ARBUSDT,15m,2026-08-11T15:30:00+00:00,0,,
ARBUSDT,15m,2026-08-11T15:45:00+00:00,0,,
ARBUSDT,15m,2026-08-11T16:00:00+00:00,0,,
ARBUSDT,15m,2026-08-11T16:15:00+00:00,1,2.028604,
ARBUSDT,15m,2026-08-11T16:30:00+00:00,1,2.566136,
ARBUSDT,15m,2026-08-11T16:45:00+00:00,1,2.778368,
ARBUSDT,15m,2026-08-11T17:00:00+00:00,1,2.014180,
ARBUSDT,15m,2026-08-11T17:15:00+00:00,1,2.229007,
ARBUSDT,15m,2026-08-11T17:30:00+00:00,1,3.311317,
ARBUSDT,15m,2026-08-11T17:45:00+00:00,1,3.348868,
ARBUSDT,15m,2026-08-11T18:00:00+00:00,1,2.932053,
ARBUSDT,15m,2026-08-11T18:15:00+00:00,1,2.450563,
ARBUSDT,15m,2026-08-11T18:30:00+00:00,1,2.251110,
ARBUSDT,15m,2026-08-11T18:45:00+00:00,1,2.597397,
ARBUSDT,15m,2026-08-11T19:00:00+00:00,1,2.237939,
ARBUSDT,15m,2026-08-11T19:15:00+00:00,1,2.768666,
ARBUSDT,15m,2026-08-11T19:30:00+00:00,1,3.724940,
ARBUSDT,15m,2026-08-11T19:45:00+00:00,1,4.654234,
ARBUSDT,15m,2026-08-11T20:00:00+00:00,1,4.930648,
ARBUSDT,15m,2026-08-11T20:15:00+00:00,1,6.380783,
ARBUSDT,15m,2026-08-11T20:30:00+00:00,1,6.255995,
ARBUSDT,15m,2026-08-11T20:45:00+00:00,1,6.215514,
ARBUSDT,15m,2026-08-11T21:00:00+00:00,1,6.744623,
ARBUSDT,15m,2026-08-11T21:15:00+00:00,1,6.746774,
ARBUSDT,15m,2026-08-11T21:30:00+00:00,1,7.788031,
ARBUSDT,15m,2026-08-11T21:45:00+00:00,1,8.464753,
ARBUSDT,15m,2026-08-11T22:00:00+00:00,1,8.753524,
ARBUSDT,15m,2026-08-11T22:15:00+00:00,1,9.060142,
ARBUSDT,15m,2026-08-11T22:30:00+00:00,1,9.439220,
ARBUSDT,15m,2026-08-11T22:45:00+00:00,1,10.168914,
ARBUSDT,15m,2026-08-11T23:00:00+00:00,1,11.273218,
ARBUSDT,15m,2026-08-11T23:15:00+00:00,1,10.732743,
ARBUSDT,15m,2026-08-11T23:30:00+00:00,1,12.394422,
ARBUSDT,15m,2026-08-11T23:45:00+00:00,1,13.745493,
ARBUSDT,15m,2026-08-12T00:00:00+00:00,1,13.680309,
ARBUSDT,15m,2026-08-12T00:15:00+00:00,1,12.627267,
ARBUSDT,15m,2026-08-12T00:30:00+00:00,2,11.975234,0.384971
ARBUSDT,15m,2026-08-12T00:45:00+00:00,2,12.513025,0.387187
ARBUSDT,15m,2026-08-12T01:00:00+00:00,2,12.745562,1.073582
ARBUSDT,15m,2026-08-12T01:15:00+00:00,3,0.876742,0.602979
ARBUSDT,15m,2026-08-12T01:30:00+00:00,2,0.844327,0.790701
ARBUSDT,15m,2026-08-12T01:45:00+00:00,4,0.521197,0.279048
ARBUSDT,15m,2026-08-12T02:00:00+00:00,4,0.170186,0.295293
ARBUSDT,15m,2026-08-12T02:15:00+00:00,4,0.442805,0.327005
ARBUSDT,15m,2026-08-12T02:30:00+00:00,3,1.426151,1.343645
ARBUSDT,15m,2026-08-12T02:45:00+00:00,3,1.678020,1.670891
ARBUSDT,15m,2026-08-12T03:00:00+00:00,3,2.062377,2.050580
ARBUSDT,15m,2026-08-12T03:15:00+00:00,3,2.345128,1.807444
ARBUSDT,15m,2026-08-12T03:30:00+00:00,3,2.301094,1.563050
ARBUSDT,15m,2026-08-12T03:45:00+00:00,3,3.092800,1.855453
ARBUSDT,15m,2026-08-12T04:00:00+00:00,3,3.947288,2.297364
ARBUSDT,15m,2026-08-12T04:15:00+00:00,3,4.355768,2.223239
ARBUSDT,15m,2026-08-12T04:30:00+00:00,3,5.892399,3.223422
ARBUSDT,15m,2026-08-12T04:45:00+00:00,3,6.282081,4.035768
ARBUSDT,15m,2026-08-12T05:00:00+00:00,3,6.827031,3.992579
ARBUSDT,15m,2026-08-12T05:15:00+00:00,3,7.175582,3.882218
ARBUSDT,15m,2026-08-12T05:30:00+00:00,2,7.868862,8.634502
ARBUSDT,15m,2026-08-12T05:45:00+00:00,2,8.407694,9.353854
ARBUSDT,15m,2026-08-12T06:00:00+00:00,2,9.708347,9.098812
ARBUSDT,15m,2026-08-12T06:15:00+00:00,2,10.216337,9.661550
ARBUSDT,15m,2026-08-12T06:30:00+00:00,2,11.275814,11.666084
ARBUSDT,15m,2026-08-12T06:45:00+00:00,2,11.395702,11.349477
ARBUSDT,15m,2026-08-12T07:00:00+00:00,2,11.898710,12.227596
ARBUSDT,15m,2026-08-12T07:15:00+00:00,2,12.556843,12.845433
ARBUSDT,15m,2026-08-12T07:30:00+00:00,2,13.529755,13.302357
ARBUSDT,15m,2026-08-12T07:45:00+00:00,2,13.790324,13.522274
ARBUSDT,15m,2026-08-12T08:00:00+00:00,2,14.453111,14.230564
ARBUSDT,15m,2026-08-12T08:15:00+00:00,2,15.439828,15.432410
ARBUSDT,15m,2026-08-12T08:30:00+00:00,2,16.689276,16.628275
ARBUSDT,15m,2026-08-12T08:45:00+00:00,2,17.914437,17.762620
ARBUSDT,15m,2026-08-12T09:00:00+00:00,2,18.038410,16.925216
ARBUSDT,15m,2026-08-12T09:15:00+00:00,2,16.521802,15.571577
ARBUSDT,15m,2026-08-12T09:30:00+00:00,2,16.250897,15.941221
ARBUSDT,15m,2026-08-12T09:45:00+00:00,3,2.222889,16.563820
ARBUSDT,15m,2026-08-12T10:00:00+00:00,3,2.391405,16.169413
ARBUSDT,15m,2026-08-12T10:15:00+00:00,3,2.034263,16.531029
ARBUSDT,15m,2026-08-12T10:30:00+00:00,3,2.119863,17.433062
ARBUSDT,15m,2026-08-12T10:45:00+00:00,3,2.688912,17.932381
ARBUSDT,15m,2026-08-12T11:00:00+00:00,3,1.906295,17.996039
ARBUSDT,15m,2026-08-12T11:15:00+00:00,3,2.317997,18.110972
ARBUSDT,15m,2026-08-12T11:30:00+00:00,3,2.856432,19.261843
ARBUSDT,15m,2026-08-12T11:45:00+00:00,2,21.372400,20.477735
ARBUSDT,15m,2026-08-12T12:00:00+00:00,2,21.989536,20.328815
ARBUSDT,15m,2026-08-12T12:15:00+00:00,2,20.088054,16.966790
ARBUSDT,15m,2026-08-12T12:30:00+00:00,3,18.900840,14.159281
ARBUSDT,15m,2026-08-12T12:45:00+00:00,3,18.857676,15.421473
ARBUSDT,15m,2026-08-12T13:00:00+00:00,2,19.319130,17.366284
ARBUSDT,15m,2026-08-12T13:15:00+00:00,2,20.109145,19.386394
ARBUSDT,15m,2026-08-12T13:30:00+00:00,2,20.650752,19.241500
ARBUSDT,15m,2026-08-12T13:45:00+00:00,2,21.200732,20.019687
ARBUSDT,15m,2026-08-12T14:00:00+00:00,1,21.316057,
ARBUSDT,15m,2026-08-12T14:15:00+00:00,1,21.080896,
ARBUSDT,15m,2026-08-12T14:30:00+00:00,1,21.291270,
ARBUSDT,15m,2026-08-12T14:45:00+00:00,1,21.430110,
ARBUSDT,15m,2026-08-12T15:00:00+00:00,1,21.388605,
ARBUSDT,15m,2026-08-12T15:15:00+00:00,0,,
ARBUSDT,15m,2026-08-12T15:30:00+00:00,0,,
ARBUSDT,15m,2026-08-12T15:45:00+00:00,0,,
ARBUSDT,15m,2026-08-12T16:00:00+00:00,0,,
ARBUSDT,15m,2026-08-12T16:15:00+00:00,0,,
ARBUSDT,15m,2026-08-12T16:30:00+00:00,0,,
ARBUSDT,15m,2026-08-12T16:45:00+00:00,0,,
ARBUSDT,15m,2026-08-12T17:00:00+00:00,0,,
ARBUSDT,15m,2026-08-12T17:15:00+00:00,0,,
ARBUSDT,15m,2026-08-12T17:30:00+00:00,0,,
ARBUSDT,15m,2026-08-12T17:45:00+00:00,0,,
ARBUSDT,15m,2026-08-12T18:00:00+00:00,2,,0.646393
ARBUSDT,15m,2026-08-12T18:15:00+00:00,1,,1.228191
ARBUSDT,15m,2026-08-12T18:30:00+00:00,1,,0.741039
ARBUSDT,15m,2026-08-12T18:45:00+00:00,2,,0.336767
ARBUSDT,15m,2026-08-12T19:00:00+00:00,1,,1.202991
ARBUSDT,15m,2026-08-12T19:15:00+00:00,2,,0.827985
ARBUSDT,15m,2026-08-12T19:30:00+00:00,2,,0.476813
ARBUSDT,15m,2026-08-12T19:45:00+00:00,2,,2.956425
ARBUSDT,15m,2026-08-12T20:00:00+00:00,1,,2.973192
ARBUSDT,15m,2026-08-12T20:15:00+00:00,1,,4.168987
ARBUSDT,15m,2026-08-12T20:30:00+00:00,1,,3.970968
ARBUSDT,15m,2026-08-12T20:45:00+00:00,1,,3.867848
ARBUSDT,15m,2026-08-12T21:00:00+00:00,3,1.634869,3.448580
ARBUSDT,15m,2026-08-12T21:15:00+00:00,2,0.592678,3.544996
