symbol,cohort,entry_ts,exit_ts,motivo,interval_s,updated_at
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-08-05T13:01:00.000,2026-08-05T13:25:00.000,funding_schedule_unknown,"",2026-09-10T02:51:11
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-05T13:01:00.000,2026-08-05T13:25:00.000,funding_schedule_unknown,"",2026-09-10T03:31:51
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-05T13:01:00.000,2026-08-05T13:25:00.000,funding_schedule_unknown,"",2026-09-10T04:13:56
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-06T21:16:00.000,2026-08-06T23:00:00.000,funding_schedule_unknown,"",2026-09-10T03:31:56
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-08-06T21:16:00.000,2026-08-07T01:16:00.000,funding_schedule_unknown,"",2026-09-10T02:51:16
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-07T05:16:00.000,2026-08-07T05:59:00.000,funding_schedule_unknown,"",2026-09-10T04:14:01
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-08-07T05:16:00.000,2026-08-07T07:47:00.000,funding_schedule_unknown,"",2026-09-10T02:51:17
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-07T05:16:00.000,2026-08-07T05:59:00.000,funding_schedule_unknown,"",2026-09-10T03:31:57
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-08T02:01:00.000,2026-08-08T03:48:00.000,funding_schedule_unknown,"",2026-09-10T03:32:00
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-08T02:01:00.000,2026-08-08T03:48:00.000,funding_schedule_unknown,"",2026-09-10T04:14:04
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-08-08T02:01:00.000,2026-08-08T06:01:00.000,funding_schedule_unknown,"",2026-09-10T02:51:20
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-08T05:31:00.000,2026-08-08T07:16:00.000,funding_schedule_unknown,"",2026-09-10T04:14:05
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-08T05:31:00.000,2026-08-08T07:16:00.000,funding_schedule_unknown,"",2026-09-10T03:32:01
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-08-09T17:31:00.000,2026-08-09T20:09:00.000,"",14400,2026-09-10T02:51:24
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-09T17:31:00.000,2026-08-09T18:49:00.000,"",14400,2026-09-10T04:14:10
PROMUSDT,replay:85418f7a-bc4f-4417-ae84-4311ec1d1375,2026-08-09T17:31:00.000,2026-08-09T20:07:00.000,"",14400,2026-09-09T19:30:19
PROMUSDT,replay:d82356d9-65dd-4d6d-ab7a-5ed3ce28b755,2026-08-09T17:31:00.000,2026-08-09T20:09:00.000,"",14400,2026-09-09T19:44:36
PROMUSDT,replay:3684ac55-49a8-4ffb-a670-d4c7419d9870,2026-08-09T17:31:00.000,2026-08-09T20:07:00.000,"",14400,2026-09-09T19:59:17
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-09T17:31:00.000,2026-08-09T18:49:00.000,"",14400,2026-09-10T03:32:06
PROMUSDT,replay:99fdba70-d6a9-452f-950e-324ea35828b0,2026-08-09T17:31:00.000,2026-08-09T18:49:00.000,"",14400,2026-09-09T20:13:39
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-09T19:16:00.000,2026-08-09T20:07:00.000,"",14400,2026-09-10T03:32:06
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-09T19:16:00.000,2026-08-09T20:07:00.000,"",14400,2026-09-10T04:14:10
PROMUSDT,replay:99fdba70-d6a9-452f-950e-324ea35828b0,2026-08-09T19:16:00.000,2026-08-09T20:07:00.000,"",14400,2026-09-09T20:13:40
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-09T21:01:00.000,2026-08-09T21:36:00.000,"",14400,2026-09-10T03:32:07
PROMUSDT,replay:85418f7a-bc4f-4417-ae84-4311ec1d1375,2026-08-09T21:01:00.000,2026-08-09T21:36:00.000,"",14400,2026-09-09T19:30:19
PROMUSDT,replay:d82356d9-65dd-4d6d-ab7a-5ed3ce28b755,2026-08-09T21:01:00.000,2026-08-10T01:01:00.000,"",14400,2026-09-09T19:44:37
PROMUSDT,replay:3684ac55-49a8-4ffb-a670-d4c7419d9870,2026-08-09T21:01:00.000,2026-08-09T21:36:00.000,"",14400,2026-09-09T19:59:17
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-08-09T21:01:00.000,2026-08-10T01:01:00.000,"",14400,2026-09-10T02:51:25
PROMUSDT,replay:99fdba70-d6a9-452f-950e-324ea35828b0,2026-08-09T21:01:00.000,2026-08-09T21:36:00.000,"",14400,2026-09-09T20:13:40
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-09T21:01:00.000,2026-08-09T21:36:00.000,"",14400,2026-09-10T04:14:10
PROMUSDT,replay:85418f7a-bc4f-4417-ae84-4311ec1d1375,2026-08-12T14:31:00.000,2026-08-12T16:31:00.000,"",3600,2026-09-09T19:30:29
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-12T14:31:00.000,2026-08-12T14:57:00.000,"",3600,2026-09-10T04:25:51
PROMUSDT,replay:99fdba70-d6a9-452f-950e-324ea35828b0,2026-08-12T14:31:00.000,2026-08-12T14:57:00.000,"",3600,2026-09-09T20:13:49
PROMUSDT,replay:3684ac55-49a8-4ffb-a670-d4c7419d9870,2026-08-12T14:31:00.000,2026-08-12T16:31:00.000,"",3600,2026-09-09T19:59:26
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-12T14:31:00.000,2026-08-12T14:57:00.000,"",3600,2026-09-10T03:45:47
PROMUSDT,replay:85418f7a-bc4f-4417-ae84-4311ec1d1375,2026-08-14T15:46:00.000,2026-08-14T16:03:00.000,"",3600,2026-09-09T19:30:35
PROMUSDT,replay:d82356d9-65dd-4d6d-ab7a-5ed3ce28b755,2026-08-14T15:46:00.000,2026-08-14T19:42:00.000,funding_missing:2026-08-14T17:00:00.002000+00:00,3600,2026-09-09T19:44:51
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-14T15:46:00.000,2026-08-14T16:00:00.000,"",14400,2026-09-10T03:45:54
PROMUSDT,replay:99fdba70-d6a9-452f-950e-324ea35828b0,2026-08-14T15:46:00.000,2026-08-14T16:00:00.000,"",3600,2026-09-09T20:13:55
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-08-14T15:46:00.000,2026-08-14T19:42:00.000,"",14400,2026-09-10T03:03:19
PROMUSDT,replay:3684ac55-49a8-4ffb-a670-d4c7419d9870,2026-08-14T15:46:00.000,2026-08-14T16:03:00.000,"",3600,2026-09-09T19:59:32
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-14T15:46:00.000,2026-08-14T16:00:00.000,"",14400,2026-09-10T04:25:58
PROMUSDT,replay:3684ac55-49a8-4ffb-a670-d4c7419d9870,2026-08-19T06:16:00.000,2026-08-19T07:48:00.000,"",14400,2026-09-09T19:59:47
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-08-19T06:16:00.000,2026-08-19T08:20:00.000,"",14400,2026-09-10T03:03:35
