symbol,tipo,hora_brt,participacao,d_stop,fonte_d_stop,ref_p10,ref_p50,ref_p90,notional_p10,notional_p50,notional_p90,r_brl_p10,r_brl_p50,r_brl_p90
BNBUSDT,perpetual,7,0.05,0.02114179,mediana_da_familia,33652.95,102387.20,317763.64,1682.65,5119.36,15888.18,182.13,554.13,1719.76
BNBUSDT,perpetual,8,0.01,0.02114179,mediana_da_familia,28401.56,95358.17,309548.45,284.02,953.58,3095.48,30.74,103.22,335.06
BNBUSDT,perpetual,8,0.02,0.02114179,mediana_da_familia,28401.56,95358.17,309548.45,568.03,1907.16,6190.97,61.48,206.43,670.12
BNBUSDT,perpetual,8,0.05,0.02114179,mediana_da_familia,28401.56,95358.17,309548.45,1420.08,4767.91,15477.42,153.71,516.09,1675.30
BNBUSDT,perpetual,9,0.01,0.02114179,mediana_da_familia,35521.09,109609.22,338477.68,355.21,1096.09,3384.78,38.45,118.64,366.37
BNBUSDT,perpetual,9,0.02,0.02114179,mediana_da_familia,35521.09,109609.22,338477.68,710.42,2192.18,6769.55,76.90,237.29,732.75
BNBUSDT,perpetual,9,0.05,0.02114179,mediana_da_familia,35521.09,109609.22,338477.68,1776.05,5480.46,16923.88,192.24,593.21,1831.87
BNBUSDT,perpetual,10,0.01,0.02114179,mediana_da_familia,45780.13,146530.34,439302.48,457.80,1465.30,4393.02,49.55,158.61,475.51
BNBUSDT,perpetual,10,0.02,0.02114179,mediana_da_familia,45780.13,146530.34,439302.48,915.60,2930.61,8786.05,99.11,317.21,951.02
BNBUSDT,perpetual,10,0.05,0.02114179,mediana_da_familia,45780.13,146530.34,439302.48,2289.01,7326.52,21965.12,247.77,793.03,2377.54
BNBUSDT,perpetual,11,0.01,0.02114179,mediana_da_familia,51533.26,181276.13,459605.17,515.33,1812.76,4596.05,55.78,196.22,497.48
BNBUSDT,perpetual,11,0.02,0.02114179,mediana_da_familia,51533.26,181276.13,459605.17,1030.67,3625.52,9192.10,111.56,392.43,994.97
BNBUSDT,perpetual,11,0.05,0.02114179,mediana_da_familia,51533.26,181276.13,459605.17,2576.66,9063.81,22980.26,278.90,981.08,2487.42
BNBUSDT,perpetual,12,0.01,0.02114179,mediana_da_familia,50452.80,160493.87,517990.16,504.53,1604.94,5179.90,54.61,173.72,560.68
BNBUSDT,perpetual,12,0.02,0.02114179,mediana_da_familia,50452.80,160493.87,517990.16,1009.06,3209.88,10359.80,109.22,347.44,1121.36
BNBUSDT,perpetual,12,0.05,0.02114179,mediana_da_familia,50452.80,160493.87,517990.16,2522.64,8024.69,25899.51,273.05,868.61,2803.41
BNBUSDT,perpetual,13,0.01,0.02114179,mediana_da_familia,49099.83,130476.44,439331.92,491.00,1304.76,4393.32,53.15,141.23,475.54
BNBUSDT,perpetual,13,0.02,0.02114179,mediana_da_familia,49099.83,130476.44,439331.92,982.00,2609.53,8786.64,106.29,282.46,951.08
