versao,dia,mercado,janela,barra,rotulo,r_exf,r_net,atr_pct,risco_pct
mean_reversion v10,2026-06-22,XRPUSDT,J1,2026-06-22T16:15:00Z,HIGH_VOLATILITY,-0.478554,,0.009460806049053813288073042305,0.014439
mean_reversion v10,2026-06-22,SUIUSDT,J1,2026-06-22T16:30:00Z,HIGH_VOLATILITY,0.246911,,0.01362606258368621611414963376,0.021100
mean_reversion v10,2026-06-22,UNIUSDT,J1,2026-06-22T17:00:00Z,HIGH_VOLATILITY,-0.566852,,0.01466366546633240322089197185,0.023225
mean_reversion v10,2026-06-23,DASHUSDT,J1,2026-06-23T06:45:00Z,SIDEWAYS,-1.067403,,0.0120209076060197619953429647,0.020463
mean_reversion v10,2026-06-24,PROMUSDT,J1,2026-06-24T01:30:00Z,BTC_BEAR,-0.005048,,0.01192791649418360801653980023,0.018515
mean_reversion v10,2026-06-24,SUIUSDT,J1,2026-06-24T02:45:00Z,BTC_BEAR,0.067623,,0.01350363774029624385928919067,0.020932
mean_reversion v10,2026-06-24,TAOUSDT,J1,2026-06-24T02:45:00Z,BTC_BEAR,1.289651,,0.01212181444317564850800819855,0.019310
mean_reversion v10,2026-06-24,NEARUSDT,J1,2026-06-24T02:45:00Z,BTC_BEAR,-0.103005,,0.01210264717370084825004889225,0.019405
mean_reversion v10,2026-06-24,UNIUSDT,J1,2026-06-24T03:30:00Z,BTC_BEAR,-0.133473,,0.01188144229352937562562839566,0.020125
mean_reversion v10,2026-06-24,SOLUSDT,J1,2026-06-24T03:30:00Z,BTC_BEAR,0.009998,,0.009445776564741314843379080465,0.015916
mean_reversion v10,2026-06-24,DOGEUSDT,J1,2026-06-24T04:45:00Z,BTC_BEAR,0.039897,,0.008069840449119761087761786539,0.013358
mean_reversion v10,2026-06-24,DASHUSDT,J1,2026-06-24T05:15:00Z,BTC_BEAR,-0.110094,,0.0164531987647505881797550898,0.025776
mean_reversion v10,2026-06-24,SAHARAUSDT,J1,2026-06-24T06:45:00Z,BTC_BEAR,1.477839,,0.02729008885091926755494773094,0.040721
mean_reversion v10,2026-06-24,SOLUSDT,J1,2026-06-24T08:15:00Z,BTC_BEAR,0.287299,,0.008193030589314291108053043997,0.012597
mean_reversion v10,2026-06-24,TAOUSDT,J1,2026-06-24T10:45:00Z,BTC_BEAR,-1.078830,,0.01142747098554238140384495209,0.017534
mean_reversion v10,2026-06-24,SAHARAUSDT,J1,2026-06-24T13:00:00Z,BTC_BEAR,-1.024556,,0.03994176255766125951361918293,0.054774
mean_reversion v10,2026-06-24,ZECUSDT,J1,2026-06-24T13:30:00Z,BTC_BEAR,-1.074269,,0.01432183599931822732315765581,0.018597
mean_reversion v10,2026-06-24,SOLUSDT,J1,2026-06-24T13:30:00Z,BTC_BEAR,-1.130005,,0.008678290241782536709528941033,0.010685
mean_reversion v10,2026-06-24,PROMUSDT,J1,2026-06-24T14:00:00Z,BTC_BEAR,-1.061479,,0.01454491021654554408827201427,0.022404
mean_reversion v10,2026-06-24,PROMUSDT,J1,2026-06-24T17:45:00Z,HIGH_VOLATILITY,1.574346,,0.01660036698844582432975803561,0.023950
mean_reversion v10,2026-06-25,PROMUSDT,J1,2026-06-25T01:00:00Z,HIGH_VOLATILITY,0.026716,,0.01855666455367247417945383532,0.028418
mean_reversion v10,2026-06-25,NEARUSDT,J1,2026-06-25T02:30:00Z,HIGH_VOLATILITY,0.377292,,0.01508778030352485023845134645,0.023229
mean_reversion v10,2026-06-25,ZECUSDT,J1,2026-06-25T03:00:00Z,HIGH_VOLATILITY,0.168585,,0.02003823764117543829956135441,0.031179
mean_reversion v10,2026-06-25,NEARUSDT,J1,2026-06-25T09:30:00Z,HIGH_VOLATILITY,-1.066358,,0.01409676662869484281733041269,0.020781
mean_reversion v10,2026-06-25,BNBUSDT,J1,2026-06-25T09:45:00Z,HIGH_VOLATILITY,-1.109180,,0.008218743716747743615710667005,0.012704
mean_reversion v10,2026-06-25,LINKUSDT,J1,2026-06-25T09:45:00Z,HIGH_VOLATILITY,-1.078704,,0.01155592143944515304412156043,0.017562
mean_reversion v10,2026-06-25,DOGEUSDT,J1,2026-06-25T09:45:00Z,HIGH_VOLATILITY,-1.078090,,0.01155980540277842895274603163,0.017698
mean_reversion v10,2026-06-25,XRPUSDT,J1,2026-06-25T10:00:00Z,HIGH_VOLATILITY,-1.093423,,0.009428093425572499091676649954,0.014824
mean_reversion v10,2026-06-25,ARBUSDT,J1,2026-06-25T10:00:00Z,HIGH_VOLATILITY,-1.063569,,0.01406110297849095363267980625,0.021679
mean_reversion v10,2026-06-25,PROMUSDT,J1,2026-06-25T10:15:00Z,HIGH_VOLATILITY,-1.061513,,0.01512110341117841328944264417,0.022392
mean_reversion v10,2026-06-25,SOLUSDT,J1,2026-06-25T10:15:00Z,HIGH_VOLATILITY,-1.065395,,0.01337465679498957019759286329,0.021082
mean_reversion v10,2026-06-25,DASHUSDT,J1,2026-06-25T10:45:00Z,HIGH_VOLATILITY,-1.046202,,0.01958656684446804107477027512,0.029655
mean_reversion v10,2026-06-25,ETHUSDT,J1,2026-06-25T11:00:00Z,HIGH_VOLATILITY,-1.077022,,0.01156356679800431236613389624,0.017941
mean_reversion v10,2026-06-25,SUIUSDT,J1,2026-06-25T11:00:00Z,HIGH_VOLATILITY,-1.066114,,0.0135127539681167327530798736,0.020857
mean_reversion v10,2026-06-25,UNIUSDT,J1,2026-06-25T11:00:00Z,HIGH_VOLATILITY,-1.051033,,0.01754524689908664398665767511,0.026902
mean_reversion v10,2026-06-25,ZECUSDT,J1,2026-06-25T11:15:00Z,HIGH_VOLATILITY,-1.041921,,0.01874968980822210762614650779,0.032613
mean_reversion v10,2026-06-25,BTCUSDT,J1,2026-06-25T11:15:00Z,HIGH_VOLATILITY,-1.096138,,0.008844155982601775115648947175,0.014410
