versao,dia,mercado,original,janela,r_exf,r_net,r_bruto,risco_pct,atr_pct
v1,2026-07-12,UNIUSDT,f,J2,-0.576771,,-0.369634,0.009632,0.009038
v1,2026-07-12,ZECUSDT,f,J2,-1.232420,,-0.900006,0.005997,0.009247
v1,2026-07-12,PROMUSDT,f,J2,1.336261,,1.676450,0.005905,0.006080
v1,2026-07-12,NEARUSDT,f,J2,-1.209707,,-0.909736,0.006643,0.006047
v1,2026-07-12,UNIUSDT,f,J2,-1.187671,,-0.919176,0.007419,0.006550
v1,2026-07-12,ZECUSDT,f,J2,-1.136449,,-0.941119,0.010184,0.007408
v1,2026-07-13,ZECUSDT,f,J2,-1.156925,,-0.932347,0.008863,0.008474
v1,2026-07-14,NEARUSDT,f,J2,1.440047,,1.756692,0.006348,0.006757
v1,2026-07-14,ARBUSDT,f,J2,-1.157959,,-0.931904,0.008806,0.007341
v1,2026-07-14,TAOUSDT,f,J2,1.467865,,1.827827,0.005581,0.006070
v1,2026-07-14,DASHUSDT,f,J2,-1.173012,,-0.925455,0.008044,0.006270
v1,2026-07-14,NEARUSDT,f,J2,-1.181521,,-0.921810,0.007669,0.006584
v1,2026-07-14,ZECUSDT,f,J2,1.070350,,1.289967,0.009155,0.008154
v1,2026-07-14,TAOUSDT,f,J2,-1.194698,,-0.916166,0.007153,0.006063
v1,2026-07-14,UNIUSDT,f,J2,-1.307126,,-0.868003,0.004543,0.006120
v1,2026-07-15,ZECUSDT,f,J2,1.084843,,1.367201,0.007113,0.006500
v1,2026-07-15,ZECUSDT,f,J2,1.039591,,1.330397,0.006905,0.006201
v1,2026-07-15,NEARUSDT,f,J2,-1.259891,,-0.888237,0.005365,0.007177
v1,2026-07-15,SAHARAUSDT,f,J2,-1.154287,,-0.933477,0.009014,0.009465
v1,2026-07-15,NEARUSDT,f,J2,-1.165061,,-0.928861,0.008429,0.007354
v1,2026-07-15,ZECUSDT,f,J2,-1.136856,,-0.940944,0.010154,0.008159
v1,2026-07-15,DASHUSDT,f,J2,-1.188243,,-0.918930,0.007397,0.006513
v1,2026-07-15,ZECUSDT,f,J2,1.338739,,1.601220,0.007662,0.007732
v1,2026-07-16,UNIUSDT,f,J2,1.153343,,1.465986,0.006423,0.006098
v1,2026-07-16,UNIUSDT,f,J2,-1.123056,,-0.946856,0.011283,0.006651
v1,2026-07-16,UNIUSDT,f,J2,-1.171104,,-0.926273,0.008133,0.008893
v1,2026-07-16,PROMUSDT,f,J2,-1.200800,,-0.913551,0.006936,0.007105
v1,2026-07-16,SAHARAUSDT,f,J2,-1.149896,,-0.935358,0.009276,0.006597
v1,2026-07-16,ARBUSDT,f,J2,-1.204990,,-0.911756,0.006795,0.006311
v1,2026-07-16,ARBUSDT,f,J2,1.624892,,1.958004,0.006036,0.006896
v1,2026-07-17,ZECUSDT,f,J2,-1.143402,,-0.938140,0.009694,0.007400
