versao,dia,mercado,original,janela,barra,rotulo,r_exf,r_net,r_bruto,risco_pct
mean_reversion v10,2026-06-26,XRPUSDT,t,J1,2026-06-26T21:15:00Z,HIGH_VOLATILITY,0.233070,,0.340972,0.018583
mean_reversion v10,2026-06-26,LINKUSDT,f,J1,2026-06-26T21:15:00Z,HIGH_VOLATILITY,0.171872,,0.271156,0.020187
mean_reversion v10,2026-06-26,NEARUSDT,f,J1,2026-06-26T21:15:00Z,HIGH_VOLATILITY,0.143101,,0.212288,0.028979
mean_reversion v10,2026-06-26,ARBUSDT,f,J1,2026-06-26T21:15:00Z,HIGH_VOLATILITY,0.329160,,0.411408,0.024424
mean_reversion v10,2026-06-26,UNIUSDT,f,J1,2026-06-26T21:15:00Z,HIGH_VOLATILITY,-0.407001,,-0.334023,0.027264
mean_reversion v10,2026-06-26,TAOUSDT,f,J1,2026-06-26T21:30:00Z,HIGH_VOLATILITY,-0.112282,,-0.032026,0.024896
mean_reversion v10,2026-06-26,SOLUSDT,t,J1,2026-06-26T21:30:00Z,HIGH_VOLATILITY,-0.372600,,-0.299538,0.027246
mean_reversion v10,2026-06-26,PROMUSDT,f,J1,2026-06-26T22:15:00Z,HIGH_VOLATILITY,0.198385,,0.314232,0.017301
mean_reversion v10,2026-06-26,SUIUSDT,f,J1,2026-06-26T22:15:00Z,HIGH_VOLATILITY,0.584790,,0.668508,0.024067
mean_reversion v10,2026-06-26,DASHUSDT,f,J1,2026-06-26T22:45:00Z,HIGH_VOLATILITY,-0.110442,,-0.046612,0.031291
mean_reversion v10,2026-06-27,ZECUSDT,f,J1,2026-06-27T01:45:00Z,HIGH_VOLATILITY,-0.402699,,-0.338429,0.030938
mean_reversion v10,2026-06-27,UNIUSDT,f,J1,2026-06-27T02:00:00Z,HIGH_VOLATILITY,0.016068,,0.099803,0.023899
mean_reversion v10,2026-06-27,DASHUSDT,f,J1,2026-06-27T03:45:00Z,HIGH_VOLATILITY,-0.257904,,-0.173706,0.023690
mean_reversion v10,2026-06-27,PROMUSDT,f,J1,2026-06-27T05:15:00Z,HIGH_VOLATILITY,0.176257,,0.315759,0.014361
mean_reversion v10,2026-06-27,NEARUSDT,f,J1,2026-06-27T06:30:00Z,HIGH_VOLATILITY,-0.131233,,-0.059606,0.027882
mean_reversion v10,2026-06-27,ZECUSDT,f,J1,2026-06-27T06:30:00Z,HIGH_VOLATILITY,-0.174831,,-0.103495,0.027979
mean_reversion v10,2026-06-27,DOGEUSDT,t,J1,2026-06-27T09:30:00Z,BTC_BEAR,0.164228,,0.302749,0.014461
mean_reversion v10,2026-06-27,XRPUSDT,t,J1,2026-06-27T09:30:00Z,BTC_BEAR,0.238834,,0.375994,0.014613
mean_reversion v10,2026-06-27,SUIUSDT,f,J1,2026-06-27T09:45:00Z,BTC_BEAR,0.436043,,0.538289,0.019652
mean_reversion v10,2026-06-27,ARBUSDT,f,J1,2026-06-27T10:00:00Z,BTC_BEAR,0.559674,,0.663072,0.019456
mean_reversion v10,2026-06-27,LINKUSDT,f,J1,2026-06-27T11:45:00Z,BTC_BEAR,0.673600,,0.802714,0.015578
mean_reversion v10,2026-06-27,PROMUSDT,f,J1,2026-06-27T17:15:00Z,BTC_BEAR,-1.121750,,-0.947415,0.011403
mean_reversion v10,2026-06-27,ARBUSDT,f,J1,2026-06-27T17:30:00Z,BTC_BEAR,-1.091945,,-0.960183,0.015060
mean_reversion v10,2026-06-27,TAOUSDT,f,J1,2026-06-27T17:30:00Z,BTC_BEAR,-1.116048,,-0.949858,0.011959
mean_reversion v10,2026-06-27,SOLUSDT,t,J1,2026-06-27T17:45:00Z,BTC_BEAR,-1.104801,,-0.954676,0.013230
mean_reversion v10,2026-06-27,NEARUSDT,f,J1,2026-06-27T19:45:00Z,BTC_BEAR,0.597630,,0.679299,0.024680
mean_reversion v10,2026-06-27,UNIUSDT,f,J1,2026-06-27T19:45:00Z,BTC_BEAR,-0.476089,,-0.363705,0.017728
mean_reversion v10,2026-06-28,NEARUSDT,f,J1,2026-06-28T04:45:00Z,LOW_VOLATILITY,-1.053820,,-0.976516,0.025534
mean_reversion v10,2026-06-28,NEARUSDT,f,J1,2026-06-28T06:30:00Z,LOW_VOLATILITY,0.163842,,0.237453,0.027242
mean_reversion v10,2026-06-28,ARBUSDT,f,J1,2026-06-28T13:30:00Z,LOW_VOLATILITY,-0.810484,,-0.674733,0.014651
mean_reversion v10,2026-06-28,SOLUSDT,t,J1,2026-06-28T17:00:00Z,LOW_VOLATILITY,-1.092814,,-0.959811,0.014921
mean_reversion v10,2026-06-29,ETHUSDT,t,J1,2026-06-29T08:45:00Z,SIDEWAYS,0.018312,,0.155919,0.014542
mean_reversion v10,2026-06-29,DASHUSDT,f,J1,2026-06-29T08:45:00Z,SIDEWAYS,0.420910,,0.521345,0.020005
mean_reversion v10,2026-06-29,NEARUSDT,f,J1,2026-06-29T11:30:00Z,SIDEWAYS,0.055921,,0.144251,0.022666
mean_reversion v10,2026-06-29,SUIUSDT,f,J1,2026-06-29T11:30:00Z,SIDEWAYS,0.273415,,0.390593,0.017115
mean_reversion v10,2026-06-29,DASHUSDT,f,J1,2026-06-29T14:00:00Z,BTC_BEAR,1.545476,,1.648375,0.019741
mean_reversion v10,2026-06-29,ARBUSDT,f,J1,2026-06-29T14:00:00Z,BTC_BEAR,1.582595,,1.680219,0.020833
mean_reversion v10,2026-06-29,LINKUSDT,f,J1,2026-06-29T14:00:00Z,BTC_BEAR,1.532942,,1.663169,0.015547
mean_reversion v10,2026-06-29,XRPUSDT,t,J1,2026-06-29T14:30:00Z,BTC_BEAR,0.827387,,0.939350,0.018003
mean_reversion v10,2026-06-29,PROMUSDT,f,J1,2026-06-29T22:30:00Z,BTC_BEAR,-0.013759,,0.107496,0.016499
mean_reversion v10,2026-06-29,LINKUSDT,f,J1,2026-06-29T22:45:00Z,BTC_BEAR,-1.084762,,-0.963261,0.016322
mean_reversion v10,2026-06-29,XRPUSDT,t,J1,2026-06-29T22:45:00Z,BTC_BEAR,-0.683104,,-0.565942,0.016978
mean_reversion v10,2026-06-29,SOLUSDT,t,J1,2026-06-29T22:45:00Z,BTC_BEAR,-0.461488,,-0.379138,0.024161
mean_reversion v10,2026-06-29,SUIUSDT,f,J1,2026-06-29T23:15:00Z,BTC_BEAR,-0.523356,,-0.415875,0.018525
mean_reversion v10,2026-06-29,DOGEUSDT,t,J1,2026-06-29T23:15:00Z,BTC_BEAR,-1.085624,,-0.962892,0.016159
mean_reversion v10,2026-06-29,ETHUSDT,t,J1,2026-06-29T23:45:00Z,BTC_BEAR,-0.916000,,-0.798533,0.016901
mean_reversion v10,2026-06-29,ARBUSDT,f,J1,2026-06-29T23:45:00Z,BTC_BEAR,-0.394708,,-0.310079,0.023532
mean_reversion v10,2026-06-30,NEARUSDT,f,J1,2026-06-30T00:45:00Z,BTC_BEAR,0.392970,,0.472372,0.025324
mean_reversion v10,2026-06-30,ZECUSDT,f,J1,2026-06-30T01:30:00Z,BTC_BEAR,-0.289685,,-0.216496,0.027229
mean_reversion v10,2026-06-30,DASHUSDT,f,J1,2026-06-30T12:45:00Z,BTC_BEAR,0.257430,,0.366472,0.018392
mean_reversion v10,2026-06-30,SUIUSDT,f,J1,2026-06-30T21:30:00Z,BTC_BEAR,-1.081389,,-0.964706,0.016990
mean_reversion v10,2026-07-01,DOGEUSDT,t,J1,2026-07-01T01:00:00Z,BTC_BEAR,-1.093307,,-0.959600,0.014843
mean_reversion v10,2026-07-01,DOGEUSDT,t,J1,2026-07-01T01:30:00Z,BTC_BEAR,0.663132,,0.787434,0.016183
mean_reversion v10,2026-07-01,SOLUSDT,t,J1,2026-07-01T01:30:00Z,BTC_BEAR,1.089302,,1.213685,0.016228
mean_reversion v10,2026-07-01,UNIUSDT,f,J1,2026-07-01T06:45:00Z,BTC_BEAR,-1.086919,,-0.962337,0.015921
mean_reversion v10,2026-07-01,ETHUSDT,t,J1,2026-07-01T06:45:00Z,BTC_BEAR,-0.290491,,-0.135427,0.012879
mean_reversion v10,2026-07-01,ARBUSDT,f,J1,2026-07-01T07:00:00Z,BTC_BEAR,0.319164,,0.424986,0.018965
mean_reversion v10,2026-07-01,ZECUSDT,f,J1,2026-07-01T07:00:00Z,BTC_BEAR,-0.410960,,-0.334968,0.026187
mean_reversion v10,2026-07-01,SUIUSDT,f,J1,2026-07-01T07:00:00Z,BTC_BEAR,-0.085333,,0.023454,0.018378
mean_reversion v10,2026-07-01,SOLUSDT,t,J1,2026-07-01T07:00:00Z,BTC_BEAR,0.277891,,0.381270,0.019406
mean_reversion v10,2026-07-01,XRPUSDT,t,J1,2026-07-01T07:00:00Z,BTC_BEAR,-0.309071,,-0.151476,0.012671
mean_reversion v10,2026-07-01,SOLUSDT,t,J1,2026-07-01T12:30:00Z,BTC_BEAR,1.628482,,1.752006,0.016414
mean_reversion v10,2026-07-01,PROMUSDT,f,J1,2026-07-01T18:30:00Z,BTC_BEAR,0.696403,,0.815906,0.016841
mean_reversion v10,2026-07-01,ZECUSDT,f,J1,2026-07-01T18:45:00Z,BTC_BEAR,0.932066,,1.013754,0.024776
mean_reversion v10,2026-07-01,SAHARAUSDT,f,J1,2026-07-01T19:45:00Z,BTC_BEAR,-0.328879,,-0.244338,0.023575
mean_reversion v10,2026-07-01,DASHUSDT,f,J1,2026-07-01T20:00:00Z,BTC_BEAR,1.376771,,1.492277,0.017531
