signal_id,versao,versao_num,coorte,symbol,base_asset,bar_utc,entry_utc,exit_utc,dia_br,hora_br,motivo,r_net,r_exf,p_entry,entry_base,risk,risco_pct,mae,mae_bar_utc,min_notional,step_size,fee_bps,spread_bps,slippage_bps,vol_min_anterior,vol_mediana_30,barras_30,vol_24h,barras_24h
5b4c58e5-e76e-5036-a4c6-920bb6d195da,mean_reversion v10,v10,replay,SOLUSDT,SOL,2026-08-21T11:45:00Z,2026-08-21T11:46:00Z,2026-08-21T15:46:00Z,2026-08-21,8,expired,0.4518129659,0.4518129658855569878065855245,90.58431800000000,90.530000000000,2.0093497313,0.02219540,0.844318,2026-08-21T13:36:00Z,5.0000000000,0.0100000000,4,2,5,889628.0404000000,2776885.85535,30,2995570151.0215000000,1440
e943c323-19c2-5306-898b-02b8a391ad16,mean_reversion v2,v2,replay,SOLUSDT,SOL,2026-08-21T11:45:00Z,2026-08-21T11:46:00Z,2026-08-21T14:48:00Z,2026-08-21,8,target,1.0649814889,1.064981488868190022030950088,90.58431800000000,90.530000000000,0.9510671994,0.01050555,0.844318,2026-08-21T13:36:00Z,5.0000000000,0.0100000000,4,2,5,889628.0404000000,2776885.85535,30,2995570151.0215000000,1440
d477bd69-432b-57c7-9fbd-7662135ce29e,mean_reversion v2,v2,replay,ETHUSDT,ETH,2026-08-21T11:45:00Z,2026-08-21T11:46:00Z,2026-08-21T13:51:00Z,2026-08-21,8,target,1.0052476043,1.005247604335695667109961552,2376.80522800000000,2375.380000000000,24.0373535252,0.01011937,15.575228,2026-08-21T11:47:00Z,20.0000000000,0.0010000000,4,2,5,9484847.9482000000,13905072.78418,30,21420344070.9706500000,1440
8faa3bc7-86aa-5ae2-863a-b73db2326d2d,mean_reversion v6,v6,replay,SOLUSDT,SOL,2026-08-21T11:45:00Z,2026-08-21T11:46:00Z,2026-08-21T15:46:00Z,2026-08-21,8,expired,0.6629345345,0.6629345345402298473292036561,90.58431800000000,90.530000000000,1.369441799,0.01512694,0.844318,2026-08-21T13:36:00Z,5.0000000000,0.0100000000,4,2,5,889628.0404000000,2776885.85535,30,2995570151.0215000000,1440
5937fa0c-67b1-5155-892e-d61c217294a8,mean_reversion v6,v6,replay,ETHUSDT,ETH,2026-08-21T11:45:00Z,2026-08-21T11:46:00Z,2026-08-21T15:46:00Z,2026-08-21,8,expired,0.5713464543,0.5713464542767743672538499167,2376.80522800000000,2375.380000000000,34.3484162877,0.01446018,15.575228,2026-08-21T11:47:00Z,20.0000000000,0.0010000000,4,2,5,9484847.9482000000,13905072.78418,30,21420344070.9706500000,1440
064726b2-746c-56d7-8046-291b5e236be8,mean_reversion v7,v7,replay,ETHUSDT,ETH,2026-08-21T11:45:00Z,2026-08-21T11:46:00Z,2026-08-21T15:46:00Z,2026-08-21,8,expired,0.4394329328,0.4394329327911891556236736544,2376.80522800000000,2375.380000000000,44.6594790503,0.01880098,15.575228,2026-08-21T11:47:00Z,20.0000000000,0.0010000000,4,2,5,9484847.9482000000,13905072.78418,30,21420344070.9706500000,1440
72b621d5-5aff-571c-ab06-39126bab83f9,mean_reversion v7,v7,replay,SOLUSDT,SOL,2026-08-21T11:45:00Z,2026-08-21T11:46:00Z,2026-08-21T15:46:00Z,2026-08-21,8,expired,0.5077983747,0.5077983747437029256286125372,90.58431800000000,90.530000000000,1.7878163987,0.01974833,0.844318,2026-08-21T13:36:00Z,5.0000000000,0.0100000000,4,2,5,889628.0404000000,2776885.85535,30,2995570151.0215000000,1440
fd9993d7-645d-579b-bd20-424d19861461,mean_reversion v8,v8,replay,SOLUSDT,SOL,2026-08-21T11:45:00Z,2026-08-21T11:46:00Z,2026-08-21T15:46:00Z,2026-08-21,8,expired,0.6629345345,0.6629345345402298473292036561,90.58431800000000,90.530000000000,1.369441799,0.01512694,0.844318,2026-08-21T13:36:00Z,5.0000000000,0.0100000000,4,2,5,889628.0404000000,2776885.85535,30,2995570151.0215000000,1440
5795ad33-2df8-5510-8a51-de300dd744e4,mean_reversion v8,v8,replay,ETHUSDT,ETH,2026-08-21T11:45:00Z,2026-08-21T11:46:00Z,2026-08-21T15:46:00Z,2026-08-21,8,expired,0.5713464543,0.5713464542767743672538499167,2376.80522800000000,2375.380000000000,34.3484162877,0.01446018,15.575228,2026-08-21T11:47:00Z,20.0000000000,0.0010000000,4,2,5,9484847.9482000000,13905072.78418,30,21420344070.9706500000,1440
a2616a6f-6fc1-5f03-92ff-cc30d21ff678,mean_reversion v1,v1,replay,DOGEUSDT,DOGE,2026-08-21T12:00:00Z,2026-08-21T12:01:00Z,2026-08-21T13:51:00Z,2026-08-21,9,target,1.6053631043,1.605363104278594366353404927,0.08292972800000,0.082880000000,0.0007897762,0.00952915,0.000289728,2026-08-21T12:02:00Z,5.0000000000,1.0000000000,4,2,5,890647.8942600000,596625.48229,30,979247254.7810300000,1440
