tag,mint,set,entry_brt,hour_brt,day_brt,reason,hold_s,pnl_sol,pnl_pct,mfe,mae,mark300,mfe_to_exit,source,n_trades,age_s,progress_pct,buys_1m,sells_1m,snipers,unique_buyers_1m,net_sol_flow_1m,mcap_delta_60s,dev_share,creator_net_seller,holders_rising,progress_rising,participation_pct,real_sol,mcap_sol,creator_prior_mints_1h,symbol_dup_24h,gross_curve_sol,pf_fee_sol,creator_fee_sol,net_fee_sol,ata_rent_sol,exit_slip_sol
BASK,GXsBwVdi7bu16xwGWMxENV9Tsqu5MJxSC9oVBAepump,operator/5,2026-09-19T16:55:28-03:00,16,2026-09-19,trailing,36,-0.0023121620,-5.20,7.2,-43.9,-42.5,7.2,tape+photos,173,62,38.1517,30,13,3,30,7.762710681,24.2127612312,0.034199,False,False,True,0.2326892277324765844324033738,11.782463765,54.2334351332,0,0,0.000487964,0.000808605,0.00025535,0.000222331,0.00151384,-0.000137341
NOOP,NoopYVpEZBfTDJYFSDBSdz73Cwu54fYMCfPvHvLMabo,operator/5,2026-09-19T17:24:38-03:00,17,2026-09-19,target,63,0.0120570170,16.75,40.2,-73.3,-73.2,16.8,tape+photos,73,273,70.8607,31,9,7,31,24.127552247,77.1541886531,0.096449,False,False,True,0.1914280233695935842153695526,32.993699669,123.2745011761,0,0,0.015595037,0.001469977,0.000464203,0.00009,0.00151384,0.000744402
GTA,9kUtKbhbPVtyhvouFpVoKiP8q712BQf4XyPbKgFSKRkR,operator/5,2026-09-19T20:13:48-03:00,20,2026-09-19,trailing,105,-0.0074512540,-10.41,1.9,-23.0,-23.0,1.9,tape+photos,39,236,59.5564,63,60,3,59,9.1593373232,10.4702915703,0,False,False,True,0.1316363244701190818496454986,23.5911895,89.2207388523,0,0,-0.004171156,0.001273956,0.000402302,0.00009,0.00151384,-0.000045
JEANJACKET,DwPm5yQRNENtGyGPZ5yD33DhqvC7F9EueftEvxcCpump,operator/6,2026-09-19T20:33:01-03:00,20,2026-09-19,target,37,0.0148026330,24.35,24.8,-24.8,-8.1,3.0,photos,0,121,22.1146,10,4,0,10,6.26963754,11.6452992167,0,False,True,True,0.827955627874593633641289442,6.455989214,39.9527185193,1,0,0.018095108,0.001283362,0.000405273,0.00009,0.00151384,-0.003069897
MILK,2hmi7GaeS3HZhkiAgmbvhq2vKioAxRKtbsPntpoqpump,operator/5,2026-09-19T20:42:38-03:00,20,2026-09-19,trailing,7,-0.0182733520,-25.09,-4.6,-70.4,-70.3,-4.6,photos,0,60,63.5934,70,49,3,55,24.495120301,67.5136047394,0.034199,False,True,True,0.09943318844036264901516947736,26.608700544,99.5509466456,0,0,-0.015098724,0.001193798,0.00037699,0.00009,0.00151384,0.001327194
DOOM,37sVGq2bSJbZN7JuEpdAR8bGM1VSZuYoNZjtHNsx7fPk,operator/5,2026-09-19T23:04:44-03:00,23,2026-09-19,trailing,3,-0.0167884100,-23.48,3.3,-25.0,-18.8,-4.6,photos,0,60,40.3254,43,14,7,34,11.745599214,26.8938449044,0,False,False,True,0.2301650075554521064242378046,12.738823564,56.7445491989,1,2,-0.013628164,0.001182868,0.000373538,0.00009,0.00151384,-0.000089568
RUN,6TDQUFtcyWYCWcdMrNf8ThTHM6GfxNLTLTDkLeeEpump,operator/6,2026-09-19T23:20:37-03:00,23,2026-09-19,trailing,6,-0.0027123160,-11.59,1.3,-49.9,-49.9,-8.8,tape+photos,140,71,36.419,23,12,1,22,10.207310294,22.7970250188,0,False,True,True,0.3149015389768953851855961414,11.050256905,52.3492883186,0,2,-0.000576487,0.000404311,0.000127678,0.00009,0.00151384,0.00324729
SOLBUX,7ThSyvACQk1QQjCR5ApGT4bTm5cEvtMJCVFK65k7pump,operator/5,2026-09-20T00:08:45-03:00,0,2026-09-20,trailing,24,-0.0016924640,-3.17,10.9,-23.2,-23.2,10.9,tape+photos,84,176,50.07,18,4,1,17,5.360186803,14.8386844301,0,False,True,True,0.9673420611948611323308148546,17.675117391,70.463206001,0,0,0.001205898,0.000983836,0.000310686,0.00009,0.00151384,-0.000024085
PROCK,BbhyvsXioqDPtMQN58V9nNTqGMbMgQoFcanj2zyhpump,operator/5,2026-09-20T00:41:06-03:00,0,2026-09-20,target,106,0.0116380610,16.26,55.7,-61.5,-61.5,16.4,tape+photos,249,104,52.3789,16,16,9,16,0.534784362,1.6176299926,0,False,False,True,0.5493200942929977437141694766,18.951978135,74.4422541239,0,0,0.015159796,0.0014576,0.000460295,0.00009,0.00151384,-0.000129785
Mooning,6mbrkst5dZ31QDPcQQeXn7z9bTefXkLtXEpQUSdjpump,operator/6,2026-09-20T00:51:14-03:00,0,2026-09-20,trailing,14,-0.0007209330,-1.00,32.1,-52.5,-52.5,10.7,tape+photos,264,60,42.0083,51,18,0,44,13.500005693,30.8330897693,0,False,True,True,0.2126238175652230667332423875,13.509882235,58.8104954874,0,0,0.002652455,0.001344856,0.000424692,0.00009,0.00151384,-0.000045
